ID,Trial,Date.Start,Time.Start,Treatment,Urchin_presence,Status,Species,Start.Buoyant.weight..g.,Start.Temp..,Start.Salinity..ppt.,Date.End,Time.End,Seawater.Density,Est..Begin.DW,RealDW_Start,New.est.start_DW,RealDW_END,End.Buoyant.weight,End.Temp..,End.Salinity..ppt.,End.Seawater.Density,Est..End.DW,End.buoyant.weight.after.dyring.48.hrs,End.temp..after.drying.,End.salinity..after.drying.,End.SW.Density.after.drying.48.h,End.Est..DW.after.drying.48.h,RealDW_End,Comments,newstarttime,Start_new,newendtime,End_new,trial_time_d,Est.DW.diff,Est.DW.diff_perday
4,1,8/9/2019,1300,L_U_M,Urchins,Live,M,22.2,29.2,33,8/14/2019,945,1.020499,34.06439693,NA,34.06439693,NA,22.33,27.8,32.1,1.020282,34.25997975,NA,NA,NA,NA,NA,NA,NA,1300,8/9/2019 13:00,945,8/14/2019 9:45,4.864583333,-0.19558282,-0.040205462
5,1,8/9/2019,1300,L_U_A,Urchins,Live,A,25.02,29.2,33,8/14/2019,945,1.020499,38.391496,NA,38.391496,NA,24.63,27.8,32.1,1.020282,37.788773,NA,NA,NA,NA,NA,NA,NA,1300,8/9/2019 13:00,945,8/14/2019 9:45,4.864583333,0.602723,0.123900231
6,1,8/9/2019,1300,L_U_P,Urchins,Live,P,26.02,29.2,33,8/14/2019,945,1.020499,39.92592829,NA,39.92592829,NA,26.09,27.8,32.1,1.020282,40.02878959,NA,NA,NA,NA,NA,NA,NA,1300,8/9/2019 13:00,945,8/14/2019 9:45,4.864583333,-0.1028613,-0.021144935
10,1,8/9/2019,1300,Alg_U_M,Urchins,Algae,M,30.34,29.3,33.4,8/14/2019,1030,1.020766,46.56118632,NA,46.56118632,NA,31.29,27.5,32.6,1.020754,48.01879904,NA,NA,NA,NA,NA,NA,NA,1300,8/9/2019 13:00,1030,8/14/2019 10:30,4.895833333,-1.45761272,-0.297725151
11,1,8/9/2019,1300,Alg_U_A,Urchins,Algae,A,23.51,29.3,33.4,8/14/2019,1030,1.020766,36.07954813,NA,36.07954813,NA,22.17,27.6,32.6,1.020722,34.02233724,NA,NA,NA,NA,NA,NA,NA,1300,8/9/2019 13:00,1030,8/14/2019 10:30,4.895833333,2.05721089,0.420196267
12,1,8/9/2019,1300,Alg_U_P,Urchins,Algae,P,23.67,29.3,33.4,8/14/2019,1030,1.020766,36.32509163,NA,36.32509163,NA,21.68,27.6,32.6,1.020722,33.2703776,NA,NA,NA,NA,NA,NA,NA,1300,8/9/2019 13:00,1030,8/14/2019 10:30,4.895833333,3.05471403,0.623941589
16,2,8/15/2019,1300,L_U_M,Urchins,Live,M,12.82,28.3,34,8/21/2019,1100,1.021547,19.68222429,NA,19.68222429,NA,12.79,28.6,33.4,1.020998,19.63051898,NA,NA,NA,NA,NA,NA,NA,1300,8/15/2019 13:00,1100,8/21/2019 11:00,5.916666667,0.05170531,0.008738926
17,2,8/15/2019,1300,L_U_A,Urchins,Live,A,13.54,28.3,34,8/21/2019,1100,1.021547,20.78762223,NA,20.78762223,NA,13.57,28.7,33.4,1.020965,20.82732899,NA,NA,NA,NA,NA,NA,NA,1300,8/15/2019 13:00,1100,8/21/2019 11:00,5.916666667,-0.03970676,-0.006711002
18,2,8/15/2019,1300,L_U_P,Urchins,Live,P,20.02,28.3,34,8/21/2019,1100,1.021547,30.73620362,NA,30.73620362,NA,20.34,28.7,33.4,1.020965,31.21797138,NA,NA,NA,NA,NA,NA,NA,1300,8/15/2019 13:00,1100,8/21/2019 11:00,5.916666667,-0.48176776,-0.081425537
19,2,8/15/2019,1300,Alg_U_M,Urchins,Algae,M,17,28,34,8/21/2019,1100,1.021645,26.1010137,NA,26.1010137,NA,16.36,28.8,33.4,1.020932,25.10900607,NA,NA,NA,NA,NA,NA,NA,1300,8/15/2019 13:00,1100,8/21/2019 11:00,5.916666667,0.99200763,0.167663261
