Date,Observer,Site,Transect,Depth_m,Meter_Mark,Quad_point,Prim_Sub,Status,Sec_Sub,Urchin_count
7/31/2019,PS,Runway,1,1,2,1,ATEN,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,2,2,ATEN,D,ZPUL,NOT COUNTED
7/31/2019,PS,Runway,1,1,2,3,ATEN,D,HALI,NOT COUNTED
7/31/2019,PS,Runway,1,1,2,4,ATEN ,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,2,5,ATEN,D,ZPUL,NOT COUNTED
7/31/2019,PS,Runway,1,1,2,6,MALC,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,2,7,ATEN,D,HALI,NOT COUNTED
7/31/2019,PS,Runway,1,1,2,8,ATEN,D,HALI,NOT COUNTED
7/31/2019,PS,Runway,1,1,2,9,MALC,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,2,10,MALC,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,2,11,MALC,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,2,12,SPONGE,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,2,13,ATEN,D,HALI,NOT COUNTED
7/31/2019,PS,Runway,1,1,2,14,ATEN,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,2,15,SAND,NA,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,2,16,MALC,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,2,17,MALC,D,BULB,NOT COUNTED
7/31/2019,PS,Runway,1,1,2,18,ATEN,D,HALI,NOT COUNTED
7/31/2019,PS,Runway,1,1,2,19,ATEN,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,2,20,ATEN,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,2,21,MALC,D,HALI,NOT COUNTED
7/31/2019,PS,Runway,1,1,2,22,ATEN,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,2,23,MALC,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,2,24,MALC,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,2,25,MALC,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,4,1,MALC,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,4,2,MALC,D,HALI,NOT COUNTED
7/31/2019,PS,Runway,1,1,4,3,MALC,L,HALI,NOT COUNTED
7/31/2019,PS,Runway,1,1,4,4,MALC,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,4,5,MALC,D,ZPUL,NOT COUNTED
7/31/2019,PS,Runway,1,1,4,6,MALC,D,CCA,NOT COUNTED
7/31/2019,PS,Runway,1,1,4,7,MALC,D,HALI,NOT COUNTED
7/31/2019,PS,Runway,1,1,4,8,MALC,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,4,9,MALC,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,4,10,MALC,D,HALI,NOT COUNTED
7/31/2019,PS,Runway,1,1,4,11,MALC,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,4,12,MALC,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,4,13,MALC,D,SPONGE,NOT COUNTED
7/31/2019,PS,Runway,1,1,4,14,MALC,D,HALI,NOT COUNTED
7/31/2019,PS,Runway,1,1,4,15,MALC,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,4,16,MALC,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,4,17,MALC,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,4,18,MALC,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,4,19,PORI,D,CCA,NOT COUNTED
7/31/2019,PS,Runway,1,1,4,20,MALC,D,HALI,NOT COUNTED
7/31/2019,PS,Runway,1,1,4,21,PORI,D,HALI,NOT COUNTED
7/31/2019,PS,Runway,1,1,4,22,ATEN,D,MALC,NOT COUNTED
7/31/2019,PS,Runway,1,1,4,23,MALC,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,4,24,MALC,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,4,25,MALC,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,6,1,PORI,D,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,6,2,PORI,D,CCA,NOT COUNTED
7/31/2019,PS,Runway,1,1,6,3,PORI,D,HALI,NOT COUNTED
7/31/2019,PS,Runway,1,1,6,4,PORI,D,HALI,NOT COUNTED
7/31/2019,PS,Runway,1,1,6,5,PORI,D,HALI,NOT COUNTED
7/31/2019,PS,Runway,1,1,6,6,PORI,D,HALI,NOT COUNTED
7/31/2019,PS,Runway,1,1,6,7,PORI,D,HALI,NOT COUNTED
7/31/2019,PS,Runway,1,1,6,8,PORI,D,HALI,NOT COUNTED
7/31/2019,PS,Runway,1,1,6,9,PORI,D,HALI,NOT COUNTED
7/31/2019,PS,Runway,1,1,6,10,PORI,D,CCA,NOT COUNTED
7/31/2019,PS,Runway,1,1,6,11,MALC,D,CCA,NOT COUNTED
7/31/2019,PS,Runway,1,1,6,12,ATEN,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,6,13,PORI,D,HALI,NOT COUNTED
7/31/2019,PS,Runway,1,1,6,14,PORI,D,CCA,NOT COUNTED
7/31/2019,PS,Runway,1,1,6,15,PORI,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,6,16,PORI,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,6,17,ATEN,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,6,18,ATEN,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,6,19,MALC,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,6,20,ATEN,L,NA,NOT COUNTED
7/31/2019,PS,Runway,1,1,6,21,ATEN,D,HALI,NOT COUNTED
7/31/2019,PS,Runway,1,1,6,22,PORI,D,CCA,NOT COUNTED
7/31/2019,PS,Runway,1,1,6,23,ATEN,L,NA,NOT COUNTED
