Bag_Number,Plot_ID,Block,Fragment_location,Fragment_Type,Habitat_Treatment,Plot_Type,Buoyant_weight_Initial,Salinity_initial,Temperature_Initial,Broken_Frag_piece_weight_initial,Broke_Temp_initial,Broke_Sal_initial,Initial_SW_density.kg.m3.,Buoyantweight_final,Temp_Final,Salin_final,Tag_number,Final_SW_density.kg.m3.,Plot_Recovered,Consolidation,Initial_est_weight,Initial_est_weight_corr,Final_est_weight,Final_est_weight_corr,Diff_weight,z_correct,Diff_weight_corr,proplost_corr,frag_recover,Fragment_Type_dummy,Ex_dummy,Enc_dummy,Partial_dummy,Open_dummy,Frag_loc_dummy,Hab_treat_dummy
11,B1_Z_PC,1,Center,ZPUL,ZPUL,Partial,11.47,33.9,28,NA,NA,NA,1021.57,9.26,27.3,33,301,1021.12,yes,No,17.6098154,17.28376031,14.21346549,13.95029563,3.39634991,0.018515531,3.333464688,0.192866866,1,1,0,0,1,0,0,1
6,B1_Z_EN,1,Center,ZPUL,ZPUL,Enclosure,12.52,33.5,28.3,NA,NA,NA,1021.17,10.01,27.3,33,302,1021.12,yes,No,19.21784549,18.42880726,15.3646641,14.73382817,3.85318139,0.04105758,3.694979087,0.200500175,1,1,0,1,0,0,0,1
16,B1_Z_OP,1,Center,ZPUL,ZPUL,Open,31.37,33.9,27.7,NA,NA,NA,1021.67,15.76,27.3,33,304,1021.12,yes,No,48.16467802,46.81437036,24.1905201,23.51233339,23.97415792,0.028035226,23.30203698,0.497753933,1,1,0,0,0,1,0,1
41,B1_DC1_EX,1,Center,DCOR,DCOR,Exclosure,16.21,34,27.2,NA,NA,NA,1021.9,1.39,27.3,33,305,1021.12,yes,No,24.8914103,24.8914103,2.133554755,2.133554755,22.75785555,0.060762868,22.75785555,0.914285501,1,0,1,0,0,0,0,0
42,B1_DC2_EX,1,Corner,DCOR,DCOR,Exclosure,19.1,34,27.2,NA,NA,NA,1021.9,3.87,27.3,33,305,1021.12,yes,No,29.32917562,29.32917562,5.94018482,5.94018482,23.3889908,0.006919096,23.3889908,0.797464992,1,0,1,0,0,0,1,0
1,B1_Z_EX,1,Center,ZPUL,ZPUL,Exclosure,10.49,33.4,28.2,NA,NA,NA,1021.13,8.85,27.3,33,307,1021.12,yes,No,16.10151556,15.37414202,13.58414358,12.97049038,2.517371975,0.045174228,2.403651639,0.15634379,1,1,1,0,0,0,0,1
121,B1_Z_EX,1,Corner,DCOR,ZPUL,Exclosure,8.87,34,26.7,NA,NA,NA,1022.06,7.72,27.3,33,307,1021.12,yes,No,13.62154994,13.62154994,11.84967101,11.84967101,1.771878933,0.021770779,1.771878933,0.130079098,1,0,1,0,0,0,1,1
62,B1_DC2_EN,1,Corner,DCOR,DCOR,Enclosure,10.16,34,27.1,NA,NA,NA,1021.93,3.2,27.3,33,308,1021.12,yes,No,15.60152405,15.60152405,4.91178073,4.91178073,10.68974332,0.039585069,10.68974332,0.685173018,1,0,0,1,0,0,1,0
2,B2_Z_EX,2,Center,ZPUL,ZPUL,Exclosure,30.21,33.4,28.3,NA,NA,NA,1021.1,19.6,27.3,33,309,1021.12,yes,No,46.36979412,44.89887216,30.08465697,29.13032488,16.28513715,0.031721555,15.76854728,0.351201412,1,1,1,0,0,0,0,1
122,B2_Z_EX,2,Corner,DCOR,ZPUL,Exclosure,15.78,34,26.7,NA,NA,NA,1022.06,6.48,27.3,33,309,1021.12,yes,No,24.23315199,24.23315199,9.946355978,9.946355978,14.28679601,0.047881207,14.28679601,0.589555829,1,0,1,0,0,0,1,1
43,B2_DC1_EX,2,Center,DCOR,DCOR,Exclosure,15.98,34,27.2,NA,NA,NA,1021.9,6.92,27.3,33,310,1021.12,yes,No,24.53823175,24.53823175,10.62172583,10.62172583,13.91650592,0.044772303,13.91650592,0.567135646,1,0,1,0,0,0,0,0
7,B2_Z_EN,2,Center,ZPUL,ZPUL,Enclosure,27.6,33.9,28.2,NA,NA,NA,1021.5,29.79,27.3,33.1,313,1021.19,yes,Yes,42.37254388,41.14942178,45.72728559,44.40732581,-3.354741704,0.028865912,-3.257904026,-0.079172535,1,1,0,1,0,0,0,1
17,B2_Z_OP,2,Center,ZPUL,ZPUL,Open,13.61,33.9,27.7,NA,NA,NA,1021.67,12.84,27.3,33,314,1021.12,yes,No,20.89643825,20.42961053,19.70852018,19.26823062,1.187918068,0.022340062,1.161379905,0.056847873,1,1,0,0,0,1,0,1
63,B2_DC1_EN,2,Center,DCOR,DCOR,Enclosure,10.66,34,27.1,NA,NA,NA,1021.93,3.18,27.3,33,316,1021.12,yes,No,16.36931559,16.36931559,4.8810821,4.8810821,11.48823349,0.062871182,11.48823349,0.701815139,1,0,0,1,0,0,0,0
18,B3_Z_OP,3,Center,ZPUL,ZPUL,Open,21.11,33.9,27.7,NA,NA,NA,1021.67,20.49,26.7,33.1,319,1021.38,yes,No,32.4117422,31.20817419,31.45503034,30.28698858,0.956711868,0.037133703,0.921185613,0.029517447,1,1,0,0,0,1,0,1
13,B3_Z_PC,3,Center,ZPUL,ZPUL,Partial,7.27,33.9,28,NA,NA,NA,1021.5,7.91,26.8,33,320,1021.28,yes,Yes,11.1611737,11.17366289,12.14232575,12.15591284,-0.98115205,-0.001118986,-0.982249946,-0.087907605,1,1,0,0,1,0,0,1
46,B3_DC2_EX,3,Corner,DCOR,DCOR,Exclosure,13.77,34,27.1,NA,NA,NA,1021.93,3.52,26.7,33.1,321,1021.38,yes,No,21.14497896,21.14497896,5.403694816,5.403694816,15.74128414,0.035039734,15.74128414,0.744445486,1,0,1,0,0,0,1,0
