,Bag_Number,Plot_ID,Block,Fragment_location,Fragment_Type,Habitat_Treatment,Plot_Type,Buoyant_weight_Initial,Salinity_initial,Temperature_Initial,Initial_SW_density.kg.m3.,Buoyantweight_final,Temp_Final,Salin_final,Tag_number,Final_SW_density.kg.m3.,Plot_Recovered,Consolidation,Initial_est_weight,Initial_est_weight_corr,Final_est_weight,Final_est_weight_corr,Diff_weight,z_correct,Diff_weight_corr,proplost_corr,frag_recover
1,11,B1_Z_PC,1,Center,ZPUL,ZPUL,Partial,11.47,33.9,28,1021.57,9.26,27.3,33,301,1021.12,yes,No,17.6098154,17.28376031,14.21346549,13.95029563,3.39634991,0.018515531,3.333464688,0.192866866,1
2,141,B1_Z_PC,1,Corner,DCOR,ZPUL,Partial,5.27,34,26.7,1022.06,NA,NA,NA,301,NA,yes,No,8.093074206,8.093074206,NA,NA,NA,0.01651517,NA,NA,0
3,6,B1_Z_EN,1,Center,ZPUL,ZPUL,Enclosure,12.52,33.5,28.3,1021.17,10.01,27.3,33,302,1021.12,yes,No,19.21784549,18.42880726,15.3646641,14.73382817,3.85318139,0.04105758,3.694979087,0.200500175,1
4,131,B1_Z_EN,1,Corner,DCOR,ZPUL,Enclosure,10.37,34,26.7,1022.06,NA,NA,NA,302,NA,yes,No,15.9250815,15.9250815,NA,NA,NA,-0.009641185,NA,NA,0
5,81,B2_DC1_PC,2,Center,DCOR,DCOR,Partial,11.68,34,27.1,1021.93,NA,NA,NA,303,NA,yes,No,17.93561033,17.93561033,NA,NA,NA,0.048456467,NA,NA,0
6,82,B2_DC2_PC,2,Corner,DCOR,DCOR,Partial,17.23,34,27.1,1021.93,NA,NA,NA,303,NA,yes,No,26.4580964,26.4580964,NA,NA,NA,0.046762366,NA,NA,0
7,16,B1_Z_OP,1,Center,ZPUL,ZPUL,Open,31.37,33.9,27.7,1021.67,15.76,27.3,33,304,1021.12,yes,No,48.16467802,46.81437036,24.1905201,23.51233339,23.97415792,0.028035226,23.30203698,0.497753933,1
8,151,B1_Z_OP,1,Corner,DCOR,ZPUL,Open,9.81,34,26.7,1022.06,NA,NA,NA,304,NA,yes,No,15.06509639,15.06509639,NA,NA,NA,-0.013399872,NA,NA,0
9,41,B1_DC1_EX,1,Center,DCOR,DCOR,Exclosure,16.21,34,27.2,1021.9,1.39,27.3,33,305,1021.12,yes,No,24.8914103,24.8914103,2.133554755,2.133554755,22.75785555,0.060762868,22.75785555,0.914285501,1
10,42,B1_DC2_EX,1,Corner,DCOR,DCOR,Exclosure,19.1,34,27.2,1021.9,3.87,27.3,33,305,1021.12,yes,No,29.32917562,29.32917562,5.94018482,5.94018482,23.3889908,0.006919096,23.3889908,0.797464992,1
